Regions,Cells,Neurons,Glia,Excitatory,Inhibitory,Modulatory,Astrocytes,Oligodendrocytes,Microglia
Piriform area molecular layer,358266,208274,149992,199323,8749,202,35207,75532,39253
Piriform area pyramidal layer,918122,636884,281238,628776,7207,901,50173,171482,59583
Piriform area polymorph layer,547513,280874,266639,263300,16006,1568,23433,202251,40955
Nucleus of the lateral olfactory tract,54544,32228,22316,22985,8962,281,6142,16174,0
Nucleus of the lateral olfactory tract molecular layer,15153,8768,6385,6339,2409,20,2403,3982,0
Nucleus of the lateral olfactory tract pyramidal layer,24844,15098,9746,10145,4826,127,2512,7234,0
Nucleus of the lateral olfactory tract layer 3,14547,8362,6185,6501,1727,134,1227,4958,0
Cortical amygdalar area,398144,274658,123486,254534,19492,632,50932,54820,17734
Cortical amygdalar area anterior part,71513,45208,26305,35105,9852,251,7609,18665,31
Cortical amygdalar area anterior part layer 1,23770,15195,8575,11079,4096,20,3256,5292,27
Cortical amygdalar area anterior part layer 2,47743,30013,17730,24026,5756,231,4353,13373,4
Cortical amygdalar area posterior part,326631,229450,97181,219429,9640,381,43323,36155,17703
Cortical amygdalar area posterior part lateral zone,159204,107332,51872,100292,6792,248,19649,21735,10488
Cortical amygdalar area posterior part lateral zone layer 1,24347,15978,8369,13262,2709,7,4237,2247,1885
Cortical amygdalar area posterior part lateral zone layer 2,59600,41420,18180,38206,3092,122,7272,7453,3455
Cortical amygdalar area posterior part lateral zone layer 3,75257,49934,25323,48824,991,119,8140,12035,5148
Cortical amygdalar area posterior part medial zone,167427,122118,45309,119137,2848,133,23674,14420,7215
Cortical amygdalar area posterior part medial zone layer 1,23872,17616,6256,16916,696,4,3906,1376,974
Cortical amygdalar area posterior part medial zone layer 2,44740,33712,11028,32723,964,25,6554,2612,1862
Cortical amygdalar area posterior part medial zone layer 3,98815,70790,28025,69498,1188,104,13214,10432,4379
Piriform-amygdalar area,82149,52327,29822,48450,3794,83,8605,8878,12339
Piriform-amygdalar area molecular layer,17009,9797,7212,8556,1236,5,2877,1797,2538
Piriform-amygdalar area pyramidal layer,33016,22700,10316,20730,1952,18,2927,2593,4796
Piriform-amygdalar area polymorph layer,32124,19830,12294,19164,606,60,2801,4488,5005
Postpiriform transition area,162229,114611,47618,112892,1608,111,10982,24394,12242
Postpiriform transition area layers 1,26957,17720,9237,17297,421,2,3024,3948,2265
Postpiriform transition area layers 2,45330,32949,12381,32488,442,19,3302,6089,2990
Postpiriform transition area layers 3,89942,63942,26000,63107,745,90,4656,14357,6987
Hippocampal formation,6857094,4446636,2410458,4098671,329426,18539,526177,1019303,864978
Hippocampal region,3826759,2608979,1217780,2425647,172795,10537,286316,462200,469264
Ammon's horn,2361489,1564060,797429,1430434,126023,7603,174110,334784,288535
Field CA1,1201508,781538,419970,698314,80157,3067,85353,164876,169741
Field CA1 stratum lacunosum-moleculare,184651,92418,92233,44513,47546,359,24944,26195,41094
Field CA1 stratum oriens,176927,93453,83474,87406,5502,545,12189,44216,27069
Field CA1 pyramidal layer,578536,435628,142908,429823,4354,1451,26212,65827,50869
Field CA1 stratum radiatum,261394,160039,101355,136572,22755,712,22008,28638,50709
Field CA2,94406,63596,30810,56644,6624,328,7444,10927,12439
Field CA2 stratum lacunosum-moleculare,11081,5465,5616,1908,3523,34,1573,1755,2288
Field CA2 stratum oriens,15881,8442,7439,7607,757,78,1394,3782,2263
Field CA2 pyramidal layer,45666,36734,8932,36373,239,122,2267,2934,3731
Field CA2 stratum radiatum,21778,12955,8823,10756,2105,94,2210,2456,4157
Field CA3,1065575,718926,346649,675476,39242,4208,81313,158981,106355
Field CA3 stratum lacunosum-moleculare,5663,2909,2754,1125,1757,27,831,810,1113
Field CA3 stratum lucidum,73210,48320,24890,47331,708,281,5917,10311,8662
Field CA3 stratum oriens,200833,102363,98470,92670,8649,1044,19847,53259,25364
Field CA3 pyramidal layer,646905,490116,156789,479191,8743,2182,35539,72251,48999
Field CA3 stratum radiatum,138964,75218,63746,55159,19385,674,19179,22350,22217
Dentate gyrus,1445049,1032255,412794,983317,46071,2867,110642,124165,177987
Dentate gyrus molecular layer,470034,280099,189935,248007,30855,1237,55756,49720,84459
Dentate gyrus polymorph layer,192734,126772,65962,122372,3874,526,16705,23626,25631
Dentate gyrus granule cell layer,782281,625384,156897,612938,11342,1104,38181,50819,67897
Fasciola cinerea,13987,9021,4966,8458,511,52,1266,1769,1931
Induseum griseum,6234,3643,2591,3438,190,15,298,1482,811
Retrohippocampal region,3030335,1837657,1192678,1673024,156631,8002,239861,557103,395714
Entorhinal area,1708551,1082511,626040,1013480,65679,3352,116832,284568,224640
Entorhinal area lateral part,1198335,755046,443289,725631,26847,2568,59810,228133,155346
Entorhinal area lateral part layer 1,129154,85939,43215,80488,5398,53,14149,14717,14349
Entorhinal area lateral part layer 2,13715,8973,4742,8879,86,8,11,3216,1515
Entorhinal area lateral part layer 2/3,33683,23567,10116,23060,426,81,916,4097,5103
Entorhinal area lateral part layer 2a,143469,100736,42733,97885,2743,108,9783,18668,14282
Entorhinal area lateral part layer 2b,167637,114627,53010,111645,2797,185,8536,27029,17445
Entorhinal area lateral part layer 3,199611,123909,75702,119937,3656,316,7701,36592,31409
Entorhinal area lateral part layer 4,71104,42132,28972,39779,2177,176,2565,16249,10158
Entorhinal area lateral part layer 4/5,31741,18353,13388,17774,404,175,1022,8191,4175
Entorhinal area lateral part layer 5,180371,104854,75517,99793,4510,551,6759,41696,27062
Entorhinal area lateral part layer 6a,202160,116356,85804,111782,3784,790,8139,49842,27823
Entorhinal area lateral part layer 6b,25690,15600,10090,14609,866,125,229,7836,2025
Entorhinal area medial part dorsal zone,467334,296033,171301,256781,38495,757,52928,53321,65052
Entorhinal area medial part dorsal zone layer 1,71152,49270,21882,41526,7705,39,15821,1538,4523
Entorhinal area medial part dorsal zone layer 2,154786,106306,48480,93773,12358,175,19810,12665,16005
Entorhinal area medial part dorsal zone layer 2a,2653,1987,666,1781,204,2,454,21,191
Entorhinal area medial part dorsal zone layer 2b,2317,1635,682,1386,249,0,417,35,230
Entorhinal area medial part dorsal zone layer 3,125947,79268,46679,71269,7837,162,9238,14631,22810
Entorhinal area medial part dorsal zone layer 4,14107,7170,6937,6351,784,35,1267,2742,2928
Entorhinal area medial part dorsal zone layer 5,33780,17784,15996,14494,3194,96,2259,7019,6718
Entorhinal area medial part dorsal zone layer 6,62592,32613,29979,26201,6164,248,3662,14670,11647
Entorhinal area medial part ventral zone,42882,31432,11450,31068,337,27,4094,3114,4242
Entorhinal area medial part ventral zone layer 1,13342,9489,3853,9365,119,5,1624,884,1345
Entorhinal area medial part ventral zone layer 2,22216,16709,5507,16521,171,17,1885,1484,2138
Entorhinal area medial part ventral zone layer 3,6949,4985,1964,4938,43,4,564,714,686
Entorhinal area medial part ventral zone layer 5/6,375,249,126,244,4,1,21,32,73
Parasubiculum,161922,102941,58981,82388,20198,355,21892,19351,17738
Parasubiculum layer 1,17243,11929,5314,8924,2985,20,3416,387,1511
Parasubiculum layer 2,99902,67960,31942,56085,11712,163,14310,8204,9428
Parasubiculum layer 3,44777,23052,21725,17379,5501,172,4166,10760,6799
Postsubiculum,138870,84231,54639,79852,3989,390,13361,20789,20489
Postsubiculum layer 1,26919,15757,11162,14575,1099,83,3541,4106,3515
Postsubiculum layer 2,64933,42865,22068,40801,1895,169,5964,6970,9134
Postsubiculum layer 3,47018,25609,21409,24476,995,138,3856,9713,7840
Presubiculum,211652,127654,83998,119657,7449,548,22695,34185,27118
Presubiculum layer 1,38654,24121,14533,23027,993,101,6790,4596,3147
Presubiculum layer 2,116635,76067,40568,72353,3440,274,11579,14165,14824
Presubiculum layer 3,56363,27466,28897,24277,3016,173,4326,15424,9147
Subiculum,809340,440320,369020,377647,59316,3357,65081,198210,105729
Subiculum dorsal part,215369,106664,108705,96250,9305,1109,18803,54917,34985
Subiculum dorsal part molecular layer,21607,9474,12133,7871,1498,105,2686,5921,3526
Subiculum dorsal part pyramidal layer,167387,85272,82115,78438,6003,831,13264,42583,26268
Subiculum dorsal part stratum radiatum,26375,11918,14457,9941,1804,173,2853,6413,5191
Subiculum ventral part,593971,333656,260315,281397,50011,2248,46278,143293,70744
Subiculum ventral part molecular layer,57174,29486,27688,17389,11943,154,10657,10699,6332
Subiculum ventral part pyramidal layer,487533,276047,211486,240052,34048,1947,31026,120960,59500
Subiculum ventral part stratum radiatum,49264,28123,21141,23956,4020,147,4595,11634,4912
Cortical subplate,1052254,584616,467638,523422,56482,4712,67229,313190,87219
Claustrum,144968,75051,69917,70413,4059,579,8764,45316,15837
Endopiriform nucleus,330826,158862,171964,134559,22747,1556,10448,136788,24728
Endopiriform nucleus dorsal part,273361,131742,141619,112996,17444,1302,8786,111473,21360
Endopiriform nucleus ventral part,57465,27120,30345,21563,5303,254,1662,25315,3368
Lateral amygdalar nucleus,99986,62102,37884,59172,2635,295,5297,16364,16223
Basolateral amygdalar nucleus,230287,131243,99044,115722,14438,1083,15664,58082,25298
Basolateral amygdalar nucleus anterior part,128204,72327,55877,59524,11970,833,10294,32653,12930
Basolateral amygdalar nucleus posterior part,71316,42202,29114,40782,1274,146,3214,16874,9026
Basolateral amygdalar nucleus ventral part,30767,16714,14053,15416,1194,104,2156,8555,3342
Basomedial amygdalar nucleus,172788,102690,70098,90966,10662,1062,17087,48975,4036
Basomedial amygdalar nucleus anterior part,44835,24339,20496,17670,6246,423,2399,18097,0
Basomedial amygdalar nucleus posterior part,127953,78351,49602,73296,4416,639,14688,30878,4036
Posterior amygdalar nucleus,73399,54668,18731,52590,1941,137,9969,7665,1097
Cerebral nuclei,6102658,3188383,2914275,1678764,1478363,31256,547578,1758921,607776
Striatum,5062235,2695250,2366985,1470817,1204219,20214,460429,1343522,563034
Striatum dorsal region,2889135,1470191,1418944,739459,722539,8193,238367,752342,428235
Caudoputamen,2889135,1470191,1418944,739459,722539,8193,238367,752342,428235
Striatum ventral region,1134616,631254,503362,378563,248422,4269,126671,321069,55622
Nucleus accumbens,641389,342020,299369,192176,146762,3082,54431,200471,44467
Fundus of striatum,37309,18471,18838,7167,10977,327,3604,15225,9
Olfactory tubercle,455918,270763,185155,179220,90683,860,68636,105373,11146
Islands of Calleja,57587,41817,15770,27995,13698,124,5568,8077,2125
Major island of Calleja,14575,11489,3086,7832,3567,90,931,1314,841
Olfactory tubercle molecular layer,104811,60894,43917,41444,19343,107,22390,20031,1496
Olfactory tubercle pyramidal layer,172843,102919,69924,69249,33410,260,26207,40156,3561
Olfactory tubercle polymorph layer,106102,53644,52458,32700,20665,279,13540,35795,3123
Lateral septal complex,453233,243407,209826,123593,117207,2607,30674,104608,74544
Lateral septal nucleus,410031,225687,184344,110117,113203,2367,28238,88592,67514
Lateral septal nucleus caudal (caudodorsal) part,86906,48882,38024,20920,27585,377,4627,11895,21502
Lateral septal nucleus rostral (rostroventral) part,304723,166040,138683,81799,82379,1862,21438,72003,45242
Lateral septal nucleus ventral part,18402,10765,7637,7398,3239,128,2173,4694,770
Septofimbrial nucleus,30013,10315,19698,7241,2938,136,1573,13726,4399
Septohippocampal nucleus,13189,7405,5784,6235,1066,104,863,2290,2631
Striatum-like amygdalar nuclei,585251,350398,234853,229202,116051,5145,64717,165503,4633
Anterior amygdalar area,68888,33978,34910,14454,18823,701,6428,28477,5
Bed nucleus of the accessory olfactory tract,9830,6054,3776,5879,107,68,1050,2726,0
Central amygdalar nucleus,187952,108354,79598,51394,55019,1941,16930,58488,4180
Central amygdalar nucleus capsular part,65864,35475,30389,15680,19170,625,5297,22982,2110
Central amygdalar nucleus lateral part,35460,22877,12583,14873,7751,253,4031,6890,1662
Central amygdalar nucleus medial part,86628,50002,36626,20841,28098,1063,7602,28616,408
Intercalated amygdalar nucleus,36397,21731,14666,11324,10146,261,2247,12178,241
Medial amygdalar nucleus,249763,161798,87965,133670,26207,1921,34196,53765,4
Medial amygdalar nucleus anterodorsal part,110602,66111,44491,46930,17973,1208,11300,33191,0
Medial amygdalar nucleus anteroventral part,61885,43135,18750,41095,1761,279,10135,8615,0
Medial amygdalar nucleus posterodorsal part,63177,41805,21372,35188,6203,414,10159,11209,4
Medial amygdalar nucleus posterodorsal part sublayer a,27261,18754,8507,15801,2795,158,4730,3777,0
Medial amygdalar nucleus posterodorsal part sublayer b,16567,10719,5848,8753,1831,135,2459,3389,0
Medial amygdalar nucleus posterodorsal part sublayer c,19349,12332,7017,10634,1577,121,2970,4043,4
Medial amygdalar nucleus posteroventral part,14099,10747,3352,10457,270,20,2602,750,0
Pallidum,1040423,493133,547290,207947,274144,11042,87149,415399,44742
Pallidum dorsal region,219321,100714,118607,36293,62394,2027,21621,84511,12475
Globus pallidus external segment,185535,85521,100014,31405,52405,1711,18975,69211,11828
Globus pallidus internal segment,33786,15193,18593,4888,9989,316,2646,15300,647
Pallidum ventral region,359936,163901,196035,59750,100260,3891,32867,159320,3848
Substantia innominata,311108,140426,170682,47757,89289,3380,27902,139211,3569
Magnocellular nucleus,48828,23475,25353,11993,10971,511,4965,20109,279
Pallidum medial region,249477,115615,133862,63323,49541,2751,16636,93986,23240
Medial septal complex,216783,101078,115705,51948,46614,2516,15553,79920,20232
Medial septal nucleus,94527,40541,53986,20713,18514,1314,3946,38571,11469
Diagonal band nucleus,122256,60537,61719,31235,28100,1202,11607,41349,8763
Triangular nucleus of septum,32694,14537,18157,11375,2927,235,1083,14066,3008
Pallidum caudal region,211689,112903,98786,48581,61949,2373,16025,77582,5179
Bed nuclei of the stria terminalis,209079,111108,97971,47201,61558,2349,15851,76941,5179
Bed nuclei of the stria terminalis anterior division,118540,59897,58643,21218,37490,1189,8497,45048,5098
Bed nuclei of the stria terminalis anterior division anterolateral area,32798,15336,17462,4941,10116,279,2144,13766,1552
Bed nuclei of the stria terminalis anterior division anteromedial area,39895,20732,19163,10212,10146,374,3113,13341,2709
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,4861,1945,2916,345,1534,66,156,2760,0
Bed nuclei of the stria terminalis anterior division fusiform nucleus,3161,1621,1540,435,1159,27,271,1269,0
Bed nuclei of the stria terminalis anterior division juxtacapsular nucleus,1890,886,1004,189,687,10,154,793,57
Bed nuclei of the stria terminalis anterior division magnocellular nucleus,9339,5572,3767,1119,4300,153,596,3171,0
Bed nuclei of the stria terminalis anterior division oval nucleus,10834,5415,5419,1975,3399,41,794,3874,751
Bed nuclei of the stria terminalis anterior division rhomboid nucleus,6500,3410,3090,818,2523,69,636,2425,29
Bed nuclei of the stria terminalis anterior division ventral nucleus,9262,4980,4282,1184,3626,170,633,3649,0
Bed nuclei of the stria terminalis posterior division,90539,51211,39328,25983,24068,1160,7354,31893,81
Bed nuclei of the stria terminalis posterior division dorsal nucleus,697,478,219,354,112,12,134,80,5
Bed nuclei of the stria terminalis posterior division principal nucleus,50941,29845,21096,16297,12937,611,4575,16482,39
Bed nuclei of the stria terminalis posterior division interfascicular nucleus,29201,15821,13380,5840,9556,425,1978,11402,0
Bed nuclei of the stria terminalis posterior division transverse nucleus,5165,2400,2765,1204,1124,72,307,2458,0
Bed nuclei of the stria terminalis posterior division strial extension,4535,2667,1868,2288,339,40,360,1471,37
Bed nucleus of the anterior commissure,2610,1795,815,1380,391,24,174,641,0
Brain stem,14694541,6811201,7883340,5727165,839884,244152,1122296,5180854,1580190
Interbrain,5399178,2890478,2508700,2386766,450615,53097,374432,1658380,475888
Thalamus,3036911,1568511,1468400,1380267,163663,24581,202242,874686,391472
Thalamus sensory-motor cortex related,915488,456415,459073,423353,26642,6420,69516,310334,79223
Ventral group of the dorsal thalamus,601932,300722,301210,281332,15310,4080,44014,204604,52592
Ventral anterior-lateral complex of the thalamus,165049,82388,82661,75776,5647,965,15199,52655,14807
Ventral medial nucleus of the thalamus,91357,46954,44403,43224,2710,1020,6706,34926,2771
Ventral posterior complex of the thalamus,345526,171380,174146,162332,6953,2095,22109,117023,35014
Ventral posterolateral nucleus of the thalamus,119800,56769,63031,49611,6459,699,7116,46660,9255
Ventral posterolateral nucleus of the thalamus parvicellular part,8584,3879,4705,3653,158,68,467,3921,317
Ventral posteromedial nucleus of the thalamus,194204,99163,95041,97695,322,1146,13040,59485,22516
Ventral posteromedial nucleus of the thalamus parvicellular part,22938,11569,11369,11373,14,182,1486,6957,2926
Subparafascicular nucleus,56411,28759,27652,24703,3345,711,2951,20572,4129
Subparafascicular nucleus magnocellular part,14843,8935,5908,8520,190,225,519,3452,1937
Subparafascicular nucleus parvicellular part,41568,19824,21744,16183,3155,486,2432,17120,2192
Subparafascicular area,10590,5851,4739,5645,24,182,616,2351,1772
Peripeduncular nucleus,18497,8765,9732,4222,4407,136,1497,7559,676
Geniculate group dorsal thalamus,228058,112318,115740,107451,3556,1311,20438,75248,20054
Medial geniculate complex,132211,69843,62368,66489,2513,841,13372,39495,9501
Medial geniculate complex dorsal part,31927,17031,14896,16907,10,114,3120,9027,2749
Medial geniculate complex ventral part,72954,39536,33418,36804,2311,421,8585,20598,4235
Medial geniculate complex medial part,27330,13276,14054,12778,192,306,1667,9870,2517
Dorsal part of the lateral geniculate complex,95847,42475,53372,40962,1043,470,7066,35753,10553
Thalamus polymodal association cortex related,1866725,984067,882658,840248,127822,15997,115849,486964,279845
Lateral group of the dorsal thalamus,300437,142274,158163,140150,510,1614,18592,87610,51961
Lateral posterior nucleus of the thalamus,119032,54095,64937,53394,179,522,6350,36332,22255
Posterior complex of the thalamus,143612,69475,74137,68650,109,716,10207,38465,25465
Posterior limiting nucleus of the thalamus,20276,9248,11028,8786,221,241,1015,7352,2661
Suprageniculate nucleus,17517,9456,8061,9320,1,135,1020,5461,1580
Anterior group of the dorsal thalamus,332009,170678,161331,165146,3411,2121,26081,89739,45511
Anteroventral nucleus of thalamus,64322,33443,30879,31975,1106,362,5868,15600,9411
Anteromedial nucleus,69803,37371,32432,36231,827,313,4823,21322,6287
Anteromedial nucleus dorsal part,54920,29117,25803,28866,41,210,3593,16364,5846
Anteromedial nucleus ventral part,14883,8254,6629,7365,786,103,1230,4958,441
Anterodorsal nucleus,38688,21814,16874,20932,507,375,2419,7874,6581
Interanteromedial nucleus of the thalamus,7034,3976,3058,3889,1,86,434,891,1733
Interanterodorsal nucleus of the thalamus,13444,6600,6844,6528,0,72,554,3859,2431
Lateral dorsal nucleus of thalamus,138718,67474,71244,65591,970,913,11983,40193,19068
Medial group of the dorsal thalamus,246677,129681,116996,127736,94,1851,10924,52567,53505
Intermediodorsal nucleus of the thalamus,37160,21930,15230,21456,11,463,1658,5071,8501
Mediodorsal nucleus of thalamus,176393,90441,85952,89288,40,1113,8035,37568,40349
Mediodorsal nucleus of the thalamus central part,30447,15763,14684,15604,3,156,1164,6692,6828
Mediodorsal nucleus of the thalamus lateral part,70165,36168,33997,35691,11,466,3466,15595,14936
Mediodorsal nucleus of the thalamus medial part,75781,38510,37271,37993,26,491,3405,15281,18585
Submedial nucleus of the thalamus,29976,15547,14429,15286,36,225,1161,9008,4260
Perireunensis nucleus,3148,1763,1385,1706,7,50,70,920,395
Midline group of the dorsal thalamus,252449,147973,104476,138406,6061,3506,12463,49409,42604
Paraventricular nucleus of the thalamus,117209,69735,47474,66308,2009,1418,5117,18826,23531
Parataenial nucleus,20305,9454,10851,9224,44,186,1074,6043,3734
Nucleus of reunions,114935,68784,46151,62874,4008,1902,6272,24540,15339
Intralaminar nuclei of the dorsal thalamus,271521,151400,120121,148273,257,2870,15880,54656,49585
Rhomboid nucleus,40118,24519,15599,24136,25,358,1931,6007,7661
Central medial nucleus of the thalamus,68014,39351,28663,38559,89,703,3857,11880,12926
Paracentral nucleus,30570,15903,14667,15746,9,148,1825,7401,5441
Central lateral nucleus of the thalamus,41406,21718,19688,21409,34,275,3387,9266,7035
Parafascicular nucleus,91413,49909,41504,48423,100,1386,4880,20102,16522
Reticular nucleus of the thalamus,216826,105965,110861,0,104148,1817,14935,91019,4907
Geniculate group ventral thalamus,89285,41237,48048,27498,12885,854,7664,31754,8630
Intergeniculate leaflet of the lateral geniculate complex,15153,6793,8360,5059,1555,179,1106,5301,1953
Ventral part of the lateral geniculate complex,69545,32004,37541,21313,10047,644,6237,24974,6330
Subgeniculate nucleus,4587,2440,2147,1126,1283,31,321,1479,347
Epithalamus,157521,94859,62662,93039,456,1364,9310,30210,23142
Medial habenula,97310,63782,33528,62743,289,750,5958,15137,12433
Lateral habenula,60211,31077,29134,30296,167,614,3352,15073,10709
Hypothalamus,2362267,1321967,1040300,1006499,286952,28516,172190,783694,84416
Periventricular zone,160999,104624,56375,86280,16811,1533,13197,27247,15931
Supraoptic nucleus,5782,3767,2015,3744,9,14,706,1309,0
Accessory supraoptic group,228,152,76,90,61,1,9,67,0
Nucleus circularis,228,152,76,90,61,1,9,67,0
Paraventricular hypothalamic nucleus,49171,29823,19348,22877,6266,680,3332,11080,4936
Paraventricular hypothalamic nucleus magnocellular division,11556,8255,3301,6803,1275,177,736,1578,987
Paraventricular hypothalamic nucleus magnocellular division medial magnocellular part,2818,2044,774,1498,511,35,164,303,307
Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part,8738,6211,2527,5305,764,142,572,1275,680
Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part lateral zone,7242,5152,2090,4386,643,123,455,1088,547
Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part medial zone,1496,1059,437,919,121,19,117,187,133
Paraventricular hypothalamic nucleus parvicellular division,37615,21568,16047,16074,4991,503,2596,9502,3949
Paraventricular hypothalamic nucleus parvicellular division anterior parvicellular part,12594,4933,7661,1773,3014,146,430,6230,1001
Paraventricular hypothalamic nucleus parvicellular division medial parvicellular part dorsal zone,17022,11606,5416,10377,984,245,1361,2065,1990
Paraventricular hypothalamic nucleus parvicellular division periventricular part,7999,5029,2970,3924,993,112,805,1207,958
Periventricular hypothalamic nucleus anterior part,5490,3895,1595,2566,1274,55,775,380,440
Periventricular hypothalamic nucleus intermediate part,31572,22275,9297,20656,1241,378,3190,2968,3139
Arcuate hypothalamic nucleus,68756,44712,24044,36347,7960,405,5185,11443,7416
Periventricular region,377112,214874,162238,152144,58440,4290,24537,116115,21586
Anterodorsal preoptic nucleus,5425,2687,2738,796,1813,78,187,2454,97
Anteroventral preoptic nucleus,8505,3995,4510,2462,1483,50,639,3703,168
Anteroventral periventricular nucleus,12097,6851,5246,3907,2844,100,774,3360,1112
Dorsomedial nucleus of the hypothalamus,106161,66723,39438,59339,5907,1477,5725,28991,4722
Dorsomedial nucleus of the hypothalamus anterior part,53400,32880,20520,29529,2581,770,3146,15492,1882
Dorsomedial nucleus of the hypothalamus posterior part,24699,16373,8326,14953,1098,322,1154,5424,1748
Dorsomedial nucleus of the hypothalamus ventral part,28062,17470,10592,14857,2228,385,1425,8075,1092
Median preoptic nucleus,28978,15324,13654,11820,3196,308,2207,9338,2109
Medial preoptic area,104996,48062,56934,24736,21989,1337,6228,47918,2788
Vascular organ of the lamina terminalis,3685,2550,1135,2474,56,20,514,397,224
Posterodorsal preoptic nucleus,699,491,208,111,362,18,55,153,0
Parastrial nucleus,3506,2036,1470,390,1600,46,249,1221,0
Periventricular hypothalamic nucleus posterior part,35358,24827,10531,18177,6398,252,2284,4826,3421
Periventricular hypothalamic nucleus preoptic part,16904,9154,7750,7064,1885,205,1090,4526,2134
Subparaventricular zone,22452,14275,8177,8702,5296,277,1907,4555,1715
Suprachiasmatic nucleus,20308,12672,7636,7235,5350,87,1824,3402,2410
Subfornical organ,5969,4120,1849,3934,156,30,428,761,660
Ventrolateral preoptic nucleus,2069,1107,962,997,105,5,426,510,26
Hypothalamic medial zone,557780,336092,221688,266876,61861,7355,37209,159991,24488
Anterior hypothalamic nucleus,120025,70719,49306,32902,36232,1585,8784,39233,1289
Anterior hypothalamic nucleus anterior part,30419,15567,14852,10680,4578,309,2158,12633,61
Anterior hypothalamic nucleus central part,66233,39561,26672,13583,25034,944,5061,20769,842
Anterior hypothalamic nucleus posterior part,23373,15591,7782,8639,6620,332,1565,5831,386
Mammillary body,130767,78961,51806,74998,2518,1445,12135,32619,7052
Lateral mammillary nucleus,10154,6281,3873,5481,732,68,1812,2041,20
Medial mammillary nucleus,76692,46707,29985,45791,194,722,7242,18446,4297
Medial mammillary nucleus median part,4709,3017,1692,2973,0,44,194,801,697
Supramammillary nucleus,34163,19162,15001,18527,71,564,1971,10682,2348
Supramammillary nucleus lateral part,23092,12514,10578,12071,57,386,1057,8795,726
Supramammillary nucleus medial part,11071,6648,4423,6456,14,178,914,1887,1622
Tuberomammillary nucleus,9758,6811,2947,5199,1521,91,1110,1450,387
Tuberomammillary nucleus dorsal part,2884,1993,891,1834,120,39,20,517,354
Tuberomammillary nucleus ventral part,6874,4818,2056,3365,1401,52,1090,933,33
Medial preoptic nucleus,35061,18112,16949,6365,11311,436,2355,13254,1340
Medial preoptic nucleus central part,1385,765,620,179,563,23,96,509,15
